date,avg_sentiment,comment_count,dominant_sentiment
2025-01-22,0.17777222222222225,90,positive
2025-01-23,0.20268956043956043,182,positive
2025-01-24,0.2665467391304348,184,positive
2025-01-27,0.20210854271356785,199,positive
2025-01-28,0.12507291666666667,192,positive
2025-01-29,0.14263962264150945,159,positive
2025-01-30,0.14260472972972973,148,positive
2025-01-31,0.1833125786163522,159,positive
2025-02-03,0.13397794117647058,136,positive
2025-02-04,0.19795267175572517,131,positive
2025-02-05,0.2124233576642336,137,positive
2025-02-06,0.3048713043478261,115,positive
2025-02-07,0.19972384105960264,151,positive
2025-02-10,0.19304471544715449,123,positive
2025-02-11,0.1984611111111111,144,positive
2025-02-12,0.08737184466019417,103,positive
2025-02-13,0.13427333333333336,75,positive
2025-02-14,0.15174086956521737,115,positive
2025-02-18,0.261949,100,positive
2025-02-19,0.1643432291666667,192,positive
2025-02-20,0.19757325581395346,172,positive
2025-02-21,0.17644202898550726,138,positive
2025-02-24,0.21212151898734177,158,positive
2025-02-25,0.09211970802919708,137,positive
2025-02-26,0.23569349593495936,123,positive
2025-02-27,0.2557225352112676,142,positive
2025-02-28,0.22271294964028776,139,positive
2025-03-03,0.17995847457627118,118,positive
2025-03-04,0.1539936305732484,157,positive
2025-03-05,0.23323888888888888,162,positive
2025-03-06,0.22326374269005847,171,positive
2025-03-07,0.15692590361445785,166,positive
2025-03-10,0.11142268907563024,119,positive
2025-03-11,0.2182013157894737,152,positive
2025-03-12,0.1773684210526316,190,positive
2025-03-13,0.22611391304347825,115,positive
2025-03-14,0.19666727272727275,110,positive
2025-03-17,0.09782195121951219,164,neutral
2025-03-18,0.10766586826347305,167,neutral
2025-03-19,0.08680121212121211,165,neutral
2025-03-20,0.3337525316455696,158,positive
2025-03-21,0.2575877777777778,180,positive
2025-03-24,0.18589708737864077,103,positive
2025-03-25,0.1915717105263158,152,positive
2025-03-26,0.12354140127388535,157,positive
2025-03-27,0.1613436241610738,149,positive
2025-03-28,0.1754873417721519,158,positive
